thanh_pho,quan_huyen,dien_tich_m2,so_phong_ngu,so_phong_tam,so_tang,mat_tien_m,huong_nha,phap_ly,gia_trieu_vnd,gia_trieu_per_m2
TP.HCM,Thủ Đức,219.6,2,2,1,4.0,Tây Bắc,Sổ đỏ/Sổ hồng,14946.2,68.06
TP.HCM,Phú Nhuận,340.2,4,3,1,5.0,Đông Nam,Sổ đỏ/Sổ hồng,61570.2,180.98
Hà Nội,Nam Từ Liêm,119.6,3,2,1,5.0,Tây Bắc,Sổ đỏ/Sổ hồng,9166.3,76.64
TP.HCM,Tân Bình,344.6,3,3,3,6.0,Đông,Sổ đỏ/Sổ hồng,47731.8,138.51
Cần Thơ,Bình Thủy,150.3,1,1,3,10.0,Bắc,Sổ đỏ/Sổ hồng,5588.3,37.18
Hà Nội,Ba Đình,109.1,4,3,3,8.0,Tây,Sổ đỏ/Sổ hồng,19547.6,179.17
Đà Nẵng,Ngũ Hành Sơn,330.3,4,3,4,10.0,Tây Bắc,Sổ đỏ/Sổ hồng,22024.4,66.68
Cần Thơ,Ninh Kiều,151.3,3,3,3,2.0,Bắc,Sổ đỏ/Sổ hồng,5877.2,38.84
Hà Nội,Ba Đình,30.1,3,3,2,12.0,Tây Nam,Hợp đồng mua bán,7213.2,239.64
Đà Nẵng,Hải Châu,221.9,5,4,2,10.0,Đông,Sổ đỏ/Sổ hồng,16581.1,74.72
Hà Nội,Long Biên,242.4,4,3,3,4.0,Nam,Sổ đỏ/Sổ hồng,21099.8,87.05
Đà Nẵng,Hải Châu,259.6,2,1,3,2.0,Tây Nam,Sổ đỏ/Sổ hồng,14224.4,54.79
Hà Nội,Long Biên,179.5,3,2,5,10.0,Tây Nam,Sổ đỏ/Sổ hồng,23441.2,130.59
Hà Nội,Long Biên,119.2,2,1,3,8.0,Đông,Sổ đỏ/Sổ hồng,12223.3,102.54
Hà Nội,Đống Đa,315.1,3,2,2,2.0,Tây Nam,Đang chờ sổ,28682.8,91.03
TP.HCM,Quận 2,290.9,4,4,2,4.0,Đông,Sổ đỏ/Sổ hồng,44628.7,153.42
Hà Nội,Hà Đông,331.4,3,2,3,5.0,Đông,Sổ đỏ/Sổ hồng,26171.0,78.97
Hà Nội,Long Biên,186.6,3,3,5,4.0,Đông,Đang chờ sổ,14642.0,78.47
Hà Nội,Ba Đình,231.2,4,4,3,12.0,Đông Bắc,Sổ đỏ/Sổ hồng,64465.9,278.83
Đà Nẵng,Sơn Trà,103.7,4,4,3,8.0,Đông Bắc,Sổ đỏ/Sổ hồng,5907.7,56.97
Đà Nẵng,Ngũ Hành Sơn,190.2,4,4,3,4.0,Bắc,Sổ đỏ/Sổ hồng,11151.5,58.63
Hà Nội,Long Biên,81.7,4,3,3,12.0,Đông,Hợp đồng mua bán,9048.2,110.75
